"Category","CheckId","CheckName","Error","FindingCount","Result","ScanNote","ScanTimeUtc"
"Authentication","AUTH-006","Accounts Requiring Password Change","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-007","Smart Card Required Accounts","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-008","Service Accounts SPN Set","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-009","Protected Users Group Members","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-010","Accounts Using DES Encryption","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-011","Default Password Policy","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-012","Fine-Grained Password Policies","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-013","Accounts with userPassword Attribute","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-014","Accounts with unixUserPassword","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-015","gMSA Accounts Best Practice","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-016","Accounts with altSecurityIdentities","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-017","Accounts Not Allowed to Delegate","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-018","Admin Accounts Without Delegation Protection","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-019","Native Administrator Account","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-020","Native Guest Account","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-021","Accounts with Description Field","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-022","Accounts with Logon Scripts","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-023","Accounts with Home Directories","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-024","Accounts with Profile Paths","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-025","Accounts with Workstation Restrictions","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-026","Accounts with Logon Hours Restrictions","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-027","Accounts with Account Expiration","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-028","Authentication Policy Silos","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
"Authentication","AUTH-029","Anonymous LDAP Access Check","LDAP query failed: Exception calling ""FindAll"" with ""0"" argument(s): ""Unknown error (0x80005000)""","0","Error","","2026-04-02T05:42:52.9223307Z"
